"EPCI_EPT","TYPO_IPCE","TYPO_INEG","TYPO_FREI"
"200071678","MOY","Q3","FAVP"
"200071751","FAV","Q2","MOY"
"200071769","DEG","Q5","DEGP"
"200071777","MOY","Q5","FAV"
"200071785","DEGP","Q5","DEGP"
"200071819","MOY","Q2","FAV"
"200071827","MOY","Q2","MOY"
"200071843","MOY","Q3","DEGP"
"200071850","MOY","Q2","DEGP"
"200071868","FAV","Q4","MOY"
"200071876","DEG","Q4","MOY"
"200071884","MOY","Q4","FAVP"
"200071892","DEGP","Q3","DEG"
"200071900","DEG","Q4","FAVP"
"200071918","FAVP","Q2","FAVP"
"200071926","DEG","Q2","MOY"
"200071934","MOY","Q3","FAV"
"200071942","MOY","Q3","DEGP"
"200071967","FAV","Q4","MOY"
"200071983","DEGP","Q5","DEGP"
"200071991","DEG","Q5","DEGP"
"200072007","MOY","Q5","MOY"
"200072015","MOY","Q5","MOY"
"200072023","DEG","Q3","MOY"
"200072031","MOY","Q2","DEG"
"200072049","DEG","Q5","MOY"
"200072056","MOY","Q4","MOY"
"200072064","MOY","Q2","DEG"
"200072072","FAV","Q1","FAV"
"200072080","DEG","Q3","DEGP"
"200072098","FAVP","Q3","FAVP"
"200072106","MOY","Q1","DEGP"
"200072130","MOY","Q1","DEGP"
"200072304","FAV","Q1","MOY"
"200072312","MOY","Q3","DEG"
"200072320","FAVP","Q1","MOY"
"200072346","FAV","Q1","FAV"
"200072452","FAV","Q1","MOY"
"200072460","DEG","Q5","DEGP"
"200072478","DEG","Q5","DEG"
"200072544","FAV","Q3","DEGP"
"200072635","MOY","Q2","DEG"
"200072643","DEG","Q4","DEG"
"200072650","FAVP","Q2","MOY"
"200072668","MOY","Q3","FAV"
"200072676","MOY","Q3","MOY"
"200072684","FAV","Q2","MOY"
"200072692","MOY","Q3","FAV"
"200072700","MOY","Q2","MOY"
"200072718","FAV","Q1","DEG"
"200072726","MOY","Q5","FAV"
"200072734","FAVP","Q3","FAVP"
"200072825","FAVP","Q3","MOY"
"200072874","FAVP","Q1","DEG"
"200072882","FAV","Q3","FAVP"
"200072981","MOY","Q3","MOY"
"200072999","MOY","Q3","FAV"
"200073013","FAVP","Q1","MOY"
"200073096","MOY","Q4","MOY"
"200073104","DEG","Q4","DEG"
"200073112","DEG","Q4","MOY"
"200073120","MOY","Q3","MOY"
"200073138","MOY","Q4","DEG"
"200073146","MOY","Q4","MOY"
"200073161","FAVP","Q2","MOY"
"200073237","FAVP","Q1","MOY"
"200073245","DEGP","Q4","MOY"
"200073252","DEGP","Q5","DEGP"
"200073260","MOY","Q4","MOY"
"200073344","FAVP","Q1","MOY"
"200073393","MOY","Q4","FAVP"
"200073401","FAVP","Q3","FAV"
"200073419","FAV","Q2","FAV"
"200073427","FAVP","Q4","MOY"
"200077014","FAV","Q2","MOY"
"200083392","FAV","Q1","FAVP"
"200084952","DEG","Q4","MOY"
"200085728","DEG","Q5","FAVP"
"200085751","DEG","Q5","DEG"
"200089456","MOY","Q2","MOY"
"200090504","FAV","Q1","DEG"
"200090561","DEGP","Q2","MOY"
"200090579","FAV","Q2","MOY"
"200090751","DEGP","Q5","DEG"
"240100610","FAV","Q3","MOY"
"240100750","FAV","Q4","MOY"
"240100800","FAV","Q2","MOY"
"240100883","FAV","Q3","MOY"
"240100891","DEG","Q5","DEG"
"240200444","DEGP","Q5","DEGP"
"240200469","DEG","Q4","DEG"
"240200477","DEGP","Q4","DEG"
"240200493","DEG","Q5","DEGP"
"240200501","MOY","Q5","DEG"
"240200519","MOY","Q5","DEGP"
"240200576","MOY","Q4","DEG"
"240200584","FAV","Q1","DEGP"
